X	Freq	Value
-0.598	1781.2	0.0033
-0.598	1945.3	0.0034
-0.598	2109.4	-0.0068
-0.598	2273.4	-0.0010
-0.598	2437.5	-0.0098
-0.598	2601.6	0.0039
-0.598	2765.6	0.0035
-0.598	2929.7	-0.0101
-0.598	3093.8	-0.0043
-0.598	3257.8	-0.0053
-0.598	3421.9	0.0008
-0.598	3585.9	-0.0030
-0.598	3750.0	0.0069
-0.598	3914.1	-0.0043
-0.598	4054.7	0.0066
-0.598	4218.8	-0.0074
-0.598	4382.8	0.0045
-0.598	4546.9	0.0014
-0.598	4710.9	0.0067
-0.598	4875.0	0.0053
-0.598	5039.1	-0.0001
-0.598	5203.1	-0.0024
-0.598	5367.2	-0.0018
-0.598	5531.2	-0.0013
-0.598	5695.3	-0.0042
-0.598	5859.4	-0.0023
-0.598	6023.4	-0.0070
-0.598	6187.5	-0.0048
-0.598	6351.6	0.0001
-0.598	6515.6	-0.0054
-0.598	6679.7	-0.0006
-0.598	6843.8	-0.0061
-0.598	7007.8	0.0023
-0.598	7171.9	0.0091
-0.598	7335.9	0.0006
-0.598	7500.0	-0.0049
-0.598	7664.1	-0.0029
-0.598	7828.1	-0.0013
-0.598	7992.2	0.0076

-0.558	0.0	0.3108
-0.558	140.6	0.0083
-0.558	304.7	-0.1539
-0.558	468.8	-0.0109
-0.558	632.8	-0.0073
-0.558	796.9	0.0408
-0.558	960.9	-0.0070
-0.558	1125.0	0.0027
-0.558	1289.1	-0.0191
-0.558	1453.1	0.0023
-0.558	1617.2	-0.0196
-0.558	1781.2	-0.0052
-0.558	1945.3	-0.0037
-0.558	2109.4	-0.0066
-0.558	2273.4	0.0074
-0.558	2437.5	-0.0083
-0.558	2601.6	-0.0041
-0.558	2765.6	0.0095
-0.558	2929.7	0.0048
-0.558	3093.8	0.0011
-0.558	3257.8	-0.0034
-0.558	3421.9	0.0059
-0.558	3585.9	-0.0029
-0.558	3750.0	0.0067
-0.558	3914.1	-0.0059
-0.558	4054.7	0.0005
-0.558	4218.8	-0.0022
-0.558	4382.8	0.0018
-0.558	4546.9	-0.0041
-0.558	4710.9	-0.0043
-0.558	4875.0	-0.0017
-0.558	5039.1	-0.0063
-0.558	5203.1	0.0062
-0.558	5367.2	0.0027
-0.558	5531.2	-0.0031
-0.558	5695.3	-0.0011
-0.558	5859.4	0.0042
-0.558	6023.4	0.0037
-0.558	6187.5	0.0017
-0.558	6351.6	-0.0030
-0.558	6515.6	0.0071
-0.558	6679.7	0.0001
-0.558	6843.8	0.0070
-0.558	7007.8	-0.0026
-0.558	7171.9	-0.0091
-0.558	7335.9	-0.0009
-0.558	7500.0	0.0052
-0.558	7664.1	0.0027
-0.558	7828.1	0.0032
-0.558	7992.2	-0.0079

-0.518	0.0	0.3108
-0.518	140.6	0.0062
-0.518	304.7	-0.1205
-0.518	468.8	-0.0124
-0.518	632.8	-0.0084
-0.518	796.9	0.0368
-0.518	960.9	-0.0050
-0.518	1125.0	0.0267
-0.518	1289.1	-0.0189
-0.518	1453.1	0.0060
-0.518	1617.2	-0.0405
-0.518	1781.2	-0.0107
-0.518	1945.3	-0.0083
-0.518	2109.4	-0.0010
-0.518	2273.4	0.0089
-0.518	2437.5	0.0021
-0.518	2601.6	-0.0072
-0.518	2765.6	0.0029
-0.518	2929.7	0.0126
-0.518	3093.8	0.0048
-0.518	3257.8	0.0045
-0.518	3421.9	-0.0002
-0.518	3585.9	0.0031
-0.518	3750.0	-0.0081
-0.518	3914.1	0.0063
-0.518	4054.7	-0.0069
-0.518	4218.8	0.0086
-0.518	4382.8	-0.0058
-0.518	4546.9	0.0021
-0.518	4710.9	-0.0023
-0.518	4875.0	-0.0033
-0.518	5039.1	0.0078
-0.518	5203.1	-0.0059
-0.518	5367.2	-0.0021
-0.518	5531.2	0.0060
-0.518	5695.3	0.0058
-0.518	5859.4	-0.0048
-0.518	6023.4	0.0002
-0.518	6187.5	0.0013
-0.518	6351.6	0.0053
-0.518	6515.6	-0.0081
-0.518	6679.7	0.0003
-0.518	6843.8	-0.0076
