X	Freq	Value
-0.678	5367.2	-0.0028
-0.678	5531.2	-0.0018
-0.678	5695.3	0.0007
-0.678	5859.4	0.0043
-0.678	6023.4	-0.0018
-0.678	6187.5	-0.0137
-0.678	6351.6	0.0051
-0.678	6515.6	0.0117
-0.678	6679.7	0.0049
-0.678	6843.8	-0.0067
-0.678	7007.8	-0.0080
-0.678	7171.9	-0.0160
-0.678	7335.9	0.0011
-0.678	7500.0	0.0092
-0.678	7664.1	0.0012
-0.678	7828.1	-0.0009
-0.678	7992.2	0.0078

-0.638	0.0	0.0003
-0.638	140.6	-0.0656
-0.638	304.7	0.1722
-0.638	468.8	-0.0433
-0.638	632.8	-0.0938
-0.638	796.9	-0.1218
-0.638	960.9	0.0389
-0.638	1125.0	-0.0042
-0.638	1289.1	0.0015
-0.638	1453.1	0.0301
-0.638	1617.2	0.0941
-0.638	1781.2	0.0171
-0.638	1945.3	-0.0141
-0.638	2109.4	0.0101
-0.638	2273.4	0.0279
-0.638	2437.5	-0.0267
-0.638	2601.6	-0.0258
-0.638	2765.6	0.0007
-0.638	2929.7	-0.0044
-0.638	3093.8	-0.0102
-0.638	3257.8	0.0180
-0.638	3421.9	0.0036
-0.638	3585.9	-0.0078
-0.638	3750.0	0.0092
-0.638	3914.1	0.0131
-0.638	4054.7	0.0008
-0.638	4218.8	-0.0156
-0.638	4382.8	0.0003
-0.638	4546.9	0.0109
-0.638	4710.9	-0.0100
-0.638	4875.0	0.0086
-0.638	5039.1	-0.0037
-0.638	5203.1	0.0066
-0.638	5367.2	0.0102
-0.638	5531.2	0.0011
-0.638	5695.3	-0.0034
-0.638	5859.4	0.0068
-0.638	6023.4	-0.0154
-0.638	6187.5	0.0051
-0.638	6351.6	0.0172
-0.638	6515.6	-0.0074
-0.638	6679.7	0.0018
-0.638	6843.8	-0.0059
-0.638	7007.8	-0.0033
-0.638	7171.9	0.0041
-0.638	7335.9	-0.0091
-0.638	7500.0	0.0089
-0.638	7664.1	-0.0136
-0.638	7828.1	-0.0004
-0.638	7992.2	0.0009

-0.598	0.0	0.0003
-0.598	140.6	-0.0681
-0.598	304.7	0.1963
-0.598	468.8	-0.0347
-0.598	632.8	-0.1005
-0.598	796.9	-0.0875
-0.598	960.9	0.0370
-0.598	1125.0	0.0766
-0.598	1289.1	-0.0077
-0.598	1453.1	0.0299
-0.598	1617.2	0.0802
-0.598	1781.2	0.0150
-0.598	1945.3	0.0099
-0.598	2109.4	-0.0185
-0.598	2273.4	0.0122
-0.598	2437.5	-0.0119
-0.598	2601.6	-0.0216
-0.598	2765.6	0.0052
-0.598	2929.7	0.0002
-0.598	3093.8	0.0280
-0.598	3257.8	-0.0020
-0.598	3421.9	0.0160
-0.598	3585.9	-0.0002
-0.598	3750.0	-0.0054
-0.598	3914.1	-0.0133
-0.598	4054.7	-0.0192
-0.598	4218.8	0.0064
-0.598	4382.8	-0.0066
-0.598	4546.9	-0.0069
-0.598	4710.9	0.0062
-0.598	4875.0	-0.0117
-0.598	5039.1	-0.0008
-0.598	5203.1	0.0067
-0.598	5367.2	0.0052
-0.598	5531.2	-0.0001
-0.598	5695.3	-0.0095
-0.598	5859.4	-0.0077
-0.598	6023.4	-0.0016
-0.598	6187.5	0.0097
-0.598	6351.6	0.0016
-0.598	6515.6	-0.0083
-0.598	6679.7	-0.0075
-0.598	6843.8	0.0089
-0.598	7007.8	-0.0066
-0.598	7171.9	0.0107
-0.598	7335.9	-0.0046
-0.598	7500.0	-0.0033
-0.598	7664.1	-0.0011
-0.598	7828.1	0.0004
-0.598	7992.2	-0.0086

-0.558	0.0	0.0003
-0.558	140.6	-0.0710
-0.558	304.7	0.2156
-0.558	468.8	-0.0215
-0.558	632.8	-0.0943
-0.558	796.9	-0.0451
-0.558	960.9	0.0331
-0.558	1125.0	0.1565
-0.558	1289.1	-0.0266
-0.558	1453.1	0.0200
-0.558	1617.2	0.0290
-0.558	1781.2	0.0025
-0.558	1945.3	0.0193
-0.558	2109.4	-0.0236
-0.558	2273.4	0.0042
-0.558	2437.5	0.0120
-0.558	2601.6	0.0141
-0.558	2765.6	0.0191
-0.558	2929.7	0.0204
-0.558	3093.8	-0.0090
-0.558	3257.8	0.0048
-0.558	3421.9	-0.0139
-0.558	3585.9	0.0028
-0.558	3750.0	-0.0090
-0.558	3914.1	0.0035
-0.558	4054.7	0.0015
-0.558	4218.8	0.0056
-0.558	4382.8	-0.0003
-0.558	4546.9	0.0163
-0.558	4710.9	-0.0046
-0.558	4875.0	-0.0037
-0.558	5039.1	-0.0112
-0.558	5203.1	-0.0053
-0.558	5367.2	0.0066
-0.558	5531.2	-0.0014
-0.558	5695.3	-0.0006
-0.558	5859.4	-0.0026
-0.558	6023.4	0.0019
-0.558	6187.5	-0.0028
-0.558	6351.6	-0.0145
-0.558	6515.6	0.0058
-0.558	6679.7	-0.0034
-0.558	6843.8	0.0030
-0.558	7007.8	-0.0059
-0.558	7171.9	-0.0050
-0.558	7335.9	0.0100
-0.558	7500.0	-0.0111
-0.558	7664.1	0.0129
-0.558	7828.1	-0.0001
-0.558	7992.2	-0.0043

-0.518	0.0	0.0003
-0.518	140.6	-0.0744
-0.518	304.7	0.2291
-0.518	468.8	-0.0046
-0.518	632.8	-0.0767
-0.518	796.9	-0.0039
-0.518	960.9	0.0295
-0.518	1125.0	0.2030
-0.518	1289.1	-0.0449
-0.518	1453.1	0.0105
-0.518	1617.2	-0.0152
-0.518	1781.2	-0.0079
-0.518	1945.3	0.0020
-0.518	2109.4	-0.0011
-0.518	2273.4	0.0167
-0.518	2437.5	0.0061
-0.518	2601.6	0.0127
-0.518	2765.6	0.0119
-0.518	2929.7	0.0124
-0.518	3093.8	-0.0345
-0.518	3257.8	0.0099
-0.518	3421.9	0.0192
-0.518	3585.9	-0.0128
-0.518	3750.0	-0.0069
-0.518	3914.1	0.0087
-0.518	4054.7	-0.0054
-0.518	4218.8	-0.0004
-0.518	4382.8	-0.0019
-0.518	4546.9	-0.0071
-0.518	4710.9	0.0052
-0.518	4875.0	-0.0108
-0.518	5039.1	0.0004
-0.518	5203.1	-0.0059
-0.518	5367.2	-0.0063
-0.518	5531.2	0.0019
-0.518	5695.3	-0.0007
-0.518	5859.4	-0.0086
-0.518	6023.4	0.0112
-0.518	6187.5	0.0102
-0.518	6351.6	-0.0083
-0.518	6515.6	-0.0059
-0.518	6679.7	0.0015
-0.518	6843.8	-0.0011
-0.518	7007.8	0.0182
-0.518	7171.9	0.0019
-0.518	7335.9	0.0072
-0.518	7500.0	-0.0060
-0.518	7664.1	0.0008
-0.518	7828.1	-0.0000
-0.518	7992.2	0.0087

-0.477	0.0	0.0003
-0.477	140.6	-0.0782
-0.477	304.7	0.2365
-0.477	468.8	0.0147
-0.477	632.8	-0.0508
-0.477	796.9	0.0274
-0.477	960.9	0.0276
-0.477	1125.0	0.1983
-0.477	1289.1	-0.0520
-0.477	1453.1	0.0101
-0.477	1617.2	-0.0169
-0.477	1781.2	-0.0063
-0.477	1945.3	-0.0211
-0.477	2109.4	0.0154
-0.477	2273.4	0.0267
-0.477	2437.5	-0.0142
-0.477	2601.6	-0.0191
-0.477	2765.6	-0.0043
-0.477	2929.7	-0.0048
-0.477	3093.8	0.0107
-0.477	3257.8	-0.0128
-0.477	3421.9	0.0297
-0.477	3585.9	-0.0005
-0.477	3750.0	-0.0148
-0.477	3914.1	-0.0132
-0.477	4054.7	-0.0030
-0.477	4218.8	0.0186
-0.477	4382.8	0.0009
-0.477	4546.9	0.0061
-0.477	4710.9	0.0017
-0.477	4875.0	-0.0008
-0.477	5039.1	-0.0054
-0.477	5203.1	-0.0110
-0.477	5367.2	-0.0050
-0.477	5531.2	-0.0028
-0.477	5695.3	0.0099
-0.477	5859.4	0.0029
-0.477	6023.4	0.0101
-0.477	6187.5	-0.0159
-0.477	6351.6	-0.0110
-0.477	6515.6	0.0106
-0.477	6679.7	0.0026
-0.477	6843.8	0.0020
-0.477	7007.8	0.0105
-0.477	7171.9	0.0030
-0.477	7335.9	-0.0046
-0.477	7500.0	0.0058
-0.477	7664.1	-0.0094
-0.477	7828.1	0.0013
-0.477	7992.2	0.0093

-0.437	0.0	0.0003
-0.437	140.6	-0.0823
-0.437	304.7	0.2376
-0.437	468.8	0.0349
-0.437	632.8	-0.0210
-0.437	796.9	0.0428
-0.437	960.9	0.0284
-0.437	1125.0	0.1465
-0.437	1289.1	-0.0440
-0.437	1453.1	0.0201
-0.437	1617.2	0.0206
-0.437	1781.2	0.0044
-0.437	1945.3	-0.0229
-0.437	2109.4	0.0023
-0.437	2273.4	0.0136
-0.437	2437.5	-0.0085
-0.437	2601.6	-0.0155
-0.437	2765.6	-0.0010
-0.437	2929.7	0.0054
-0.437	3093.8	0.0105
-0.437	3257.8	-0.0132
-0.437	3421.9	-0.0098
-0.437	3585.9	0.0035
-0.437	3750.0	-0.0067
-0.437	3914.1	0.0130
-0.437	4054.7	0.0160
-0.437	4218.8	-0.0065
-0.437	4382.8	0.0050
-0.437	4546.9	-0.0039
-0.437	4710.9	-0.0010
-0.437	4875.0	0.0037
-0.437	5039.1	0.0094
-0.437	5203.1	-0.0031
-0.437	5367.2	-0.0113
-0.437	5531.2	0.0035
-0.437	5695.3	0.0036
-0.437	5859.4	0.0032
-0.437	6023.4	-0.0009
-0.437	6187.5	0.0001
-0.437	6351.6	0.0092
-0.437	6515.6	0.0051
-0.437	6679.7	0.0076
-0.437	6843.8	-0.0095
-0.437	7007.8	-0.0099
-0.437	7171.9	-0.0149
-0.437	7335.9	-0.0036
-0.437	7500.0	0.0123
-0.437	7664.1	0.0029
-0.437	7828.1	0.0005
-0.437	7992.2	-0.0058

-0.397	0.0	0.0003
-0.397	140.6	-0.0867
-0.397	304.7	0.2327
-0.397	468.8	0.0546
-0.397	632.8	0.0081
-0.397	796.9	0.0402
-0.397	960.9	0.0316
-0.397	1125.0	0.0710
-0.397	1289.1	-0.0249
-0.397	1453.1	0.0338
-0.397	1617.2	0.0608
-0.397	1781.2	0.0124
-0.397	1945.3	-0.0020
-0.397	2109.4	-0.0228
-0.397	2273.4	-0.0085
-0.397	2437.5	0.0169
-0.397	2601.6	0.0197
-0.397	2765.6	0.0078
-0.397	2929.7	0.0140
-0.397	3093.8	-0.0328
-0.397	3257.8	0.0012
-0.397	3421.9	0.0082
-0.397	3585.9	-0.0094
-0.397	3750.0	-0.0003
-0.397	3914.1	0.0009
-0.397	4054.7	-0.0011
-0.397	4218.8	0.0064
-0.397	4382.8	0.0005
-0.397	4546.9	-0.0094
-0.397	4710.9	0.0061
-0.397	4875.0	0.0036
-0.397	5039.1	0.0007
-0.397	5203.1	-0.0023
-0.397	5367.2	-0.0026
-0.397	5531.2	-0.0032
-0.397	5695.3	0.0072
-0.397	5859.4	0.0075
-0.397	6023.4	-0.0014
-0.397	6187.5	-0.0079
-0.397	6351.6	0.0122
-0.397	6515.6	-0.0054
-0.397	6679.7	0.0017
-0.397	6843.8	-0.0038
-0.397	7007.8	-0.0006
-0.397	7171.9	-0.0001
-0.397	7335.9	-0.0048
-0.397	7500.0	0.0082
-0.397	7664.1	0.0028
-0.397	7828.1	-0.0025
-0.397	7992.2	-0.0121

-0.357	0.0	0.0003
-0.357	140.6	-0.0914
-0.357	304.7	0.2224
-0.357	468.8	0.0723
-0.357	632.8	0.0324
-0.357	796.9	0.0217
-0.357	960.9	0.0361
-0.357	1125.0	0.0027
-0.357	1289.1	-0.0043
-0.357	1453.1	0.0424
-0.357	1617.2	0.0678
-0.357	1781.2	0.0095
-0.357	1945.3	0.0179
-0.357	2109.4	-0.0275
-0.357	2273.4	-0.0134
-0.357	2437.5	0.0233
-0.357	2601.6	0.0246
-0.357	2765.6	-0.0018
-0.357	2929.7	-0.0036
-0.357	3093.8	-0.0122
-0.357	3257.8	-0.0114
-0.357	3421.9	0.0252
-0.357	3585.9	0.0027
-0.357	3750.0	-0.0042
-0.357	3914.1	-0.0110
-0.357	4054.7	0.0108
-0.357	4218.8	0.0025
-0.357	4382.8	0.0061
-0.357	4546.9	0.0051
-0.357	4710.9	-0.0081
-0.357	4875.0	0.0147
-0.357	5039.1	0.0117
-0.357	5203.1	0.0057
-0.357	5367.2	-0.0048
-0.357	5531.2	0.0035
-0.357	5695.3	-0.0025
-0.357	5859.4	0.0063
-0.357	6023.4	-0.0137
-0.357	6187.5	-0.0012
-0.357	6351.6	0.0126
-0.357	6515.6	0.0059
-0.357	6679.7	-0.0012
-0.357	6843.8	0.0023
-0.357	7007.8	-0.0143
-0.357	7171.9	0.0083
-0.357	7335.9	-0.0090
-0.357	7500.0	0.0004
-0.357	7664.1	-0.0118
-0.357	7828.1	-0.0016
-0.357	7992.2	-0.0002

-0.307	0.0	0.0003
-0.307	140.6	-0.0974
-0.307	304.7	0.2031
-0.307	468.8	0.0900
-0.307	632.8	0.0518
-0.307	796.9	-0.0156
-0.307	960.9	0.0414
-0.307	1125.0	-0.0368
-0.307	1289.1	0.0098
-0.307	1453.1	0.0388
-0.307	1617.2	0.0232
-0.307	1781.2	-0.0048
-0.307	1945.3	0.0124
-0.307	2109.4	-0.0009
-0.307	2273.4	0.0030
-0.307	2437.5	-0.0013
-0.307	2601.6	-0.0121
-0.307	2765.6	-0.0165
-0.307	2929.7	-0.0129
-0.307	3093.8	0.0268
-0.307	3257.8	-0.0182
-0.307	3421.9	-0.0202
-0.307	3585.9	0.0061
-0.307	3750.0	0.0069
-0.307	3914.1	0.0150
-0.307	4054.7	0.0103
-0.307	4218.8	-0.0112
-0.307	4382.8	0.0003
-0.307	4546.9	-0.0150
-0.307	4710.9	0.0063
-0.307	4875.0	0.0035
-0.307	5039.1	0.0003
-0.307	5203.1	0.0050
-0.307	5367.2	0.0048
-0.307	5531.2	-0.0052
-0.307	5695.3	-0.0015
-0.307	5859.4	0.0010
-0.307	6023.4	-0.0071
-0.307	6187.5	0.0123
-0.307	6351.6	0.0166
-0.307	6515.6	-0.0107
-0.307	6679.7	-0.0012
-0.307	6843.8	-0.0024
-0.307	7007.8	-0.0190
-0.307	7171.9	-0.0024
-0.307	7335.9	-0.0010
-0.307	7500.0	-0.0062
-0.307	7664.1	-0.0062
-0.307	7828.1	0.0005
-0.307	7992.2	0.0054

-0.266	0.0	0.0003
-0.266	140.6	-0.1023
-0.266	304.7	0.1840
-0.266	468.8	0.0999
-0.266	632.8	0.0571
-0.266	796.9	-0.0487
-0.266	960.9	0.0442
-0.266	1125.0	-0.0227
-0.266	1289.1	0.0073
